id,str
4124,[224,255,356]
4125,[210,224,316]
4126,[224,320]
4127,[211,326]
4128,[231,301]
4129,[156,231,303]
4130,[231,240,305]
4131,[240,308]
4132,[240,354]
4133,[240,314]
4134,[240,307]
4135,[324]
4136,[152,301]
4137,[152,175,303]
4138,[152,241,305]
4139,[241,308]
4140,[241,354]
4141,[241,314]
4142,[241,307]
4143,[324]
4144,[233,301]
4145,[228,233,303]
4146,[233,242,305]
4147,[242,308]
4148,[242,354]
4149,[242,314]
4150,[242,307]
4151,[324]
4152,[180,301]
4153,[140,180,303]
4154,[180,243,305]
4155,[243,308]
4156,[243,354]
4157,[243,314]
4158,[243,307]
4159,[324]
4160,[235,301]
4161,[173,235,303]
4162,[235,244,305]
4163,[244,308]
4164,[244,354]
4165,[244,314]
4166,[244,307]
4167,[324]
4168,[219,305]
4169,[219,220,306]
4170,[219,221,307]
4171,[221,222,310]
4172,[221,223,356]
4173,[221,225,316]
4174,[221,226,320]
4175,[227,326]
4176,[145,233,294]
4177,[220,221,319]
4178,[145,236,334]
4179,[222,226,321]
4180,[223,226,322]
4181,[225,226,323]
4182,[226,386]
4183,[227,387]
4184,[204,219,354]
4185,[204,220,355]
4186,[204,221,245,356]
4187,[222,245,312]
4188,[223,245,313]
4189,[225,245,318]
4190,[226,245,322]
4191,[227,328]
4192,[212,301]
4193,[212,213,235,303]
4194,[212,214,305]
4195,[214,215,308]
4196,[214,256,354]
4197,[214,216,314]
4198,[214,217,307]
4199,[218,324]
4200,[145,176,283]
4201,[213,214,244,306]
4202,[146,294]
4203,[215,217,310]
4204,[217,256,356]
4205,[216,217,316]
4206,[217,320]
4207,[218,326]
4208,[236,301]
4209,[176,236,303]
4210,[236,246,305]
4211,[246,308]
4212,[246,354]
4213,[246,314]
4214,[246,307]
4215,[324]
4216,[252,301]
4217,[140,252,303]
4218,[252,253,305]
4219,[253,308]
4220,[253,354]
4221,[253,314]
4222,[253,307]
4223,[324]
4224,[203,219,308]
4225,[203,220,309]
4226,[203,221,247,310]
4227,[222,247,311]
4228,[223,247,312]
4229,[225,247,317]
4230,[226,247,321]
4231,[227,327]
4232,[219,251,314]
4233,[220,251,315]
4234,[221,251,254,316]
4235,[222,254,317]
4236,[223,254,318]
4237,[225,254,384]
4238,[226,254,323]
4239,[227,302]
4240,[237,314]
4241,[237,315]
4242,[237,248,316]
4243,[248,317]
4244,[248,318]
4245,[248,384]
4246,[248,323]
4247,[302]
4248,[200,206,212,303]
4249,[114,188,197,200,207,213,304]
4250,[200,208,214,249,306]
4251,[209,215,249,309]
4252,[249,255,256,355]
4253,[210,216,249,315]
4254,[217,224,249,319]
4255,[211,218,325]
4256,[238,303]
4257,[181,238,304]
4258,[238,250,306]
4259,[250,309]
4260,[250,355]
4261,[250,315]
4262,[250,319]
4263,[325]
4264,[146,176,283]
4265,[140,180,334]
4266,[140,199,283]
4267,[156,180,283]
4268,[126,141,334]
4269,[126,294]
4270,[126,172,334]
4271,[224,330]
4272,[217,330]
4273,[226,380]
4274,[141,172,294]
