[R81Add]
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 
68 30 77 78 34 47 62 57 58 45 81 15 39 11 64 65 4 66 21 54 74 63 33 55 75 52 59 60 50 70 44 18 9 76 36 22 23 16 80 49 12 38 32 71 72 24 73 3 41 42 25 43 20 19 51 5 69 61 35 67 28 79 8 31 10 6 37 56 27 13 40 29 26 48 17 7 53 46 1 14 2 
69 31 78 6 35 48 63 58 7 81 15 16 40 12 65 14 66 21 25 55 75 33 34 26 32 53 60 1 70 44 45 19 76 36 37 23 5 80 49 50 38 39 54 72 2 73 3 4 42 13 43 20 24 51 52 59 61 62 67 68 79 8 9 10 11 74 56 27 28 71 29 30 77 17 18 22 46 47 57 41 64 
70 73 69 61 80 79 81 31 10 78 6 74 43 66 48 17 58 7 22 35 63 15 16 67 33 56 40 29 55 26 77 76 65 14 41 12 38 75 32 54 21 25 34 53 46 60 1 57 19 51 23 5 59 36 37 39 44 45 49 50 72 2 64 3 4 62 42 13 71 52 20 24 68 8 9 11 27 28 30 18 47 
71 77 28 79 41 57 64 45 81 47 48 17 54 74 4 66 62 63 33 37 9 65 14 56 76 59 50 70 52 53 46 22 11 12 38 16 80 18 19 51 75 32 36 24 73 68 69 61 25 43 34 35 67 23 5 49 72 2 42 13 30 31 10 78 6 8 39 40 29 20 55 26 27 58 7 15 60 1 44 21 3 
72 78 79 8 42 58 65 81 15 48 17 18 55 75 66 21 63 33 34 56 76 14 41 27 36 60 70 44 53 46 47 23 12 38 39 80 49 19 51 52 32 54 37 73 3 69 61 62 43 20 35 67 68 5 59 50 2 64 13 71 31 10 11 6 74 9 40 29 30 24 26 77 28 7 22 16 1 57 45 25 4 
73 79 31 10 43 81 66 48 17 58 7 22 56 76 63 33 65 14 41 40 12 21 25 29 38 70 53 46 60 1 57 80 75 32 54 19 51 23 5 59 36 37 39 69 61 72 2 64 35 67 42 13 71 49 50 52 3 4 20 24 78 6 74 8 9 11 55 26 77 68 27 28 30 15 16 18 44 45 47 34 62 
74 22 16 80 77 41 54 25 43 34 35 67 57 59 37 56 39 40 29 45 50 55 26 81 70 64 4 66 62 63 33 71 52 53 46 24 73 68 69 61 60 1 44 9 76 11 12 38 28 79 30 31 10 72 2 3 75 32 78 6 18 19 51 23 5 49 47 48 17 8 58 7 15 42 13 20 65 14 21 27 36 
75 23 80 49 78 42 55 43 20 35 67 68 58 60 56 27 40 29 30 81 70 26 77 15 44 65 66 21 63 33 34 72 53 46 47 73 3 69 61 62 1 57 45 76 36 12 38 39 79 8 31 10 11 2 64 4 32 54 6 74 19 51 52 5 59 50 48 17 18 9 7 22 16 13 71 24 14 41 25 28 37 
76 80 19 51 79 43 56 35 67 42 13 71 81 70 40 29 55 26 77 48 53 27 28 17 46 66 63 33 65 14 41 73 60 1 57 69 61 72 2 64 44 45 47 12 38 75 32 54 31 10 78 6 74 3 4 62 36 37 8 9 23 5 59 49 50 52 58 7 22 11 15 16 18 20 24 68 21 25 34 30 39 
77 57 45 81 54 64 74 4 66 62 63 33 59 22 9 76 11 12 38 50 16 75 32 70 80 71 24 73 68 69 61 41 18 19 51 25 43 34 35 67 23 5 49 28 79 30 31 10 37 56 39 40 29 42 13 20 78 6 55 26 47 48 17 58 7 15 52 53 46 27 60 1 44 65 14 21 72 2 3 36 8 
